                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
WTC  WATL DYB  9 SAB 10 DYB  6 SAB  9 DYB 10  WATL DYB  8 SAB  9 DYB  9 SAB  9 DYB 10 5 9 7 . 4 2 0 4  5
WTC  WFRC DYB  9 SAB 10 DYB  6 SAB  9 DYB 10  WATL DYB  8 SAB  9 DYB  9 SAB  9 DYB 10 5 9 7 . 4 2 0 4  5
WTC  WFRC DYB  9 SAB 10 DYB  6 SAB  9 DYB 10  WATL SAB  7 SAB  9 DYB  9 SAB  9 DYB 10 9 7 - . 4 2 0 4  5
WTC  WFRC DYB  9 SAB 10 DYB  6 SAB  9 DYB 10  WFRC SAB  7 SAB  9 DYB  9 SAB  9 DYB 10 9 7 - . 4 2 0 4  5
WTC  WFRC DYB  9 SAB 10 SAB  6 SAB  9 DYB 10  WFRC SAB  7 SAB  9 DYB  9 SAB  9 DYB 10 9 7 - . 4 0 - 4  5
WTC  WFRC SAB  8 SAB 10 SAB  6 SAB  9 DYB 10  WFRC SAB  7 SAB  9 DYB  9 SAB  9 DYB 10 9 7 - . 4 - - 4  5
WTC  WFRC SAB  8 SAB 10 SAB  6 SAB  9 DYB 10  WFRC SAB  7 SAB  9 SAB  8 SAB  9 DYB 10 9 - - . 4 - - 4  5
WTC  WFRC SAB  8 SAB 10 SAB  6 SAB  9 DYB 10  WFRC SAB  7 SAB  9 SAB  8 SAB  9 SAB  9 - - - . 4 - - 4  5
WTC  WFRC SAB  8 SAB 10 SAB  6 SAB  9 SAB  9  WFRC SAB  7 SAB  9 SAB  8 SAB  9 SAB  9 - - - . - - - 4  5
EOG  WFRC SAB  8 SAB 10 SAB  6 SAB  9 SAB  9  WFRC SAB  7 SAB  9 SAB  8 SAB  9 SAB  9 - - - . - - - -  -
Game 1 was won by team 1 by knock out in 4 trials.
Game 2
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG  WFRC SAB  8 SAB 10 SAB  6 SAB  9 SAB  9  WFRC SAB  7 SAB  9 SAB  8 SAB  9 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  8 SAB 10 SAB  6 SAB  9 SAB  9  WFRC SAB  7 SAB  9 SAB  8 SAB  9 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  8 SAB 10 SAB  6 SAB  9 SAB  9  ASTM SAB  7 SAB  9 SAB  8 SAB  9 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  8 SAB 10 SAB  6 SAB  9 SAB  9  ASTM SAB  8 SAB  9 SAB  8 SAB  9 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  8 SAB 10 SAB  6 SAB  9 SAB  9  ASTM SAB  8 SAB  9 SAB  8 SAB  9 SAB 10 - - - . - - - -  -
